name,formula,state,formula_raw,phase_flag,mw,hf298,T_low,T_high,dh298_0,a1,a2,a3,a4,a5,a6,a7,b1,b2,eq
silver,Ag,g,AG  1.00    0.00    0.00    0.00    0.00,0,107.8682,284900,6000,20000,6197.428,-371744150,275806.9172,-73.8598261,0.009606159,-5.39E-07,1.36E-11,-1.27E-16,-2107724.971,662.837457,1
aluminum,Al,g,AL  1.00    0.00    0.00    0.00    0.00,0,26.981538,330000,6000,20000,6918.671,-504068232,380232.265,-108.2347159,0.015494443,-1.07E-06,3.59E-11,-4.70E-16,-2901050.501,949.188316,1
aluminum oxide,AlO,g,AL  1.00O   1.00    0.00    0.00    0.00,0,42.980938,67319.006,6000,20000,8788.106,41656612.1,-37686.0876,15.47867956,-0.000956873,2.49E-08,6.69E-14,-9.00E-18,295778.6517,-94.27715804,1
argon,Ar,g,AR  1.00    0.00    0.00    0.00    0.00,0,39.948,0,6000,20000,6197.428,-995126508,645888.726,-167.5894697,0.023199334,-1.72E-06,6.53E-11,-9.74E-16,-5078300.34,1465.298484,1
boron,B,g,B   1.00    0.00    0.00    0.00    0.00,0,10.811,575598.76,6000,20000,6316.06,-415000131,232957.6796,-47.2091371,0.004877656,-2.07E-07,3.23E-12,-1.82E-18,-1802904.743,443.961764,1
boron monohydride,BH,g,B   1.00H   1.00    0.00    0.00    0.00,0,11.81894,456723.204,6000,20000,8639.104,16715681.44,-47392.3934,30.02619492,-0.004066742,2.73E-07,-8.93E-12,1.16E-16,377229.776,-214.2712519,1
boron monoxide,BO,g,B   1.00O   1.00    0.00    0.00    0.00,0,26.8104,20406.404,6000,20000,8674.104,-159269951.4,121095.5629,-31.36823502,0.005110038,-3.46E-07,1.15E-11,-1.50E-16,-934506.576,302.6123907,1
barium,Ba,g,BA  1.00    0.00    0.00    0.00    0.00,0,137.327,185000,6000,20000,6197.428,348345207,-292555.8261,97.7488849,-0.013454771,9.57E-07,-3.38E-11,4.73E-16,2250335.26,-796.844441,1
barium oxide,BaO,g,BA  1.00O   1.00    0.00    0.00    0.00,0,153.3264,-117948.392,6000,20000,9014.108,-1104748482,356145.169,-12.36258085,-0.002812895,3.31E-07,-1.25E-11,1.70E-16,-3157682.531,206.7297489,1
beryllium,Be,g,BE  1.00    0.00    0.00    0.00    0.00,0,9.012182,324000,6000,20000,6197.428,414583352,-225414.7519,44.1143791,-0.003022854,1.18E-07,-2.27E-12,1.20E-17,1866686.325,-375.23374,1
beryllium oxide,BeO,g,BE  1.00O   1.00    0.00    0.00    0.00,0,25.011582,128940.304,6000,20000,8688.104,-74401063.2,43096.653,-0.101958606,0.000261721,-2.46E-08,1.12E-12,-1.83E-17,-340237.938,44.8704023,1
bromine,Br,g,BR  1.00    0.00    0.00    0.00    0.00,0,79.904,111870,6000,20000,6197.428,-112278127.7,63459.62,-8.61787427,0.001180127,-6.22E-08,1.74E-12,-2.09E-17,-501464.018,108.6136282,1
carbon,C,g,C   1.00    0.00    0.00    0.00    0.00,0,12.0107,716680,6000,20000,6535.895,443252801,-288601.8412,77.3710832,-0.009715282,6.65E-07,-2.23E-11,2.90E-16,2355273.444,-640.512316,1
carbon monohydride,CH,g,C   1.00H   1.00    0.00    0.00    0.00,0,13.01864,597338,6000,20000,8625,-806826755,457539.322,-98.4385128,0.012352286,-8.49E-07,3.04E-11,-4.40E-16,-3595809.57,895.3364358,1
carbon mononitride,CN,g,C   1.00N   1.00    0.00    0.00    0.00,0,26.01744,438683.448,6000,20000,8672,-179477307.1,105433.1428,-17.29598876,0.002194864,-8.51E-08,9.32E-13,6.36E-18,-796247.645,191.3112387,1
cobalt,CO,g,C   1.00O   1.00    0.00    0.00    0.00,0,28.0101,-110530,6000,20000,8671,886855241,-750028.541,249.5444488,-0.03956303,3.30E-06,-1.32E-10,2.00E-15,5701351.24,-2060.679613,1
carbon dioxide,CO2,g,C   1.00O   2.00    0.00    0.00    0.00,0,44.0095,-393510,6000,20000,9365.469,-1544406228,1016836.139,-256.1377096,0.033693639,-2.18E-06,6.99E-11,-8.84E-16,-8043128.5,2254.153243,1
dicarbon,C2,g,C   2.00    0.00    0.00    0.00    0.00,0,24.0214,830457,6000,20000,10169,6316167.42,13653.44126,-3.99672321,0.001937523,-1.58E-07,5.52E-12,-7.25E-17,9392.90526,66.14126766,1
tricarbon,C3,g,C   3.00    0.00    0.00    0.00    0.00,0,36.0321,839948.5,6000,20000,12109,562195627,-480014.82,148.773604,-0.018638076,1.25E-06,-4.23E-11,5.70E-16,3777690.2,-1226.349444,1
calcium,Ca,g,CA  1.00    0.00    0.00    0.00    0.00,0,40.078,177800,6000,20000,6197.428,2291781634,-1608862.96,431.246636,-0.05396509,3.53E-06,-1.16E-10,1.53E-15,12586514.34,-3692.10161,1
calcium oxide,CaO,g,CA  1.00O   1.00    0.00    0.00    0.00,0,56.0774,38005.308,6000,20000,8953.108,-350405513,208321.2387,-39.7820927,0.005039269,-3.22E-07,1.06E-11,-1.40E-16,-1662378.721,393.449193,1
cadmium,Cd,g,CD  1.00    0.00    0.00    0.00    0.00,0,112.411,111800,6000,20000,6197.428,-1336284287,932094.911,-249.0956222,0.033028786,-2.20E-06,7.43E-11,-1.03E-15,-7267528.99,2167.946107,1
chlorine,Cl,g,CL  1.00    0.00    0.00    0.00    0.00,0,35.4527,121301,6000,20000,6271.588,-71396870.7,44999.3633,-9.26431535,0.001657438,-1.33E-07,5.53E-12,-8.39E-17,-340533.303,106.9111299,1
cobalt,Co,g,CO  1.00    0.00    0.00    0.00    0.00,0,58.9332,428441.6,6000,20000,6359.768,-546801575,403770.495,-114.2413163,0.016630144,-1.16E-06,3.86E-11,-5.00E-16,-3076031.798,1003.028648,1
chromium,Cr,g,CR  1.00    0.00    0.00    0.00    0.00,0,51.9961,397480,6000,20000,6197.428,3900886930,-2462918.543,591.563264,-0.066971216,3.95E-06,-1.17E-10,1.37E-15,19553819.84,-5133.51055,1
cesium,Cs,g,CS  1.00    0.00    0.00    0.00    0.00,0,132.90545,76500,6000,20000,6197.428,-956623172,432169.042,-63.7180102,0.005246261,-2.37E-07,5.85E-12,-6.17E-17,-3585268.84,615.6618174,1
copper,Cu,g,CU  1.00    0.00    0.00    0.00    0.00,0,63.546,337400,6000,20000,6197.428,-649059589,424032.336,-102.8965806,0.012972599,-7.77E-07,2.22E-11,-2.44E-16,-3305304.58,919.862292,1
deuterium,D,g,D   1.00    0.00    0.00    0.00    0.00,0,2.014102,221720.228,6000,20000,6197.428,216925977.8,-130930.9862,33.9259505,-0.003805974,2.43E-07,-7.68E-12,9.62E-17,1065922.04,-272.6201602,1
d fluoride,DF,g,D   1.00F   1.00    0.00    0.00    0.00,0,21.0125052,-276227.001,6000,20000,8638.104,59718238.7,-83312.6074,34.5604239,-0.004650865,3.67E-07,-1.41E-11,2.11E-16,580763.428,-257.700769,1
deuterium,D2,g,D   2.00    0.00    0.00    0.00    0.00,0,4.028204,0,6000,20000,8569.103,489968473,-311279.617,79.4573202,-0.008425549,4.79E-07,-1.39E-11,1.64E-16,2460031.03,-663.681004,1
fluorine,F,g,F   1.00    0.00    0.00    0.00    0.00,0,18.9984032,79380,6000,20000,6518.46,-29267247.56,17756.74924,-1.814463258,0.00053512,-3.51E-08,1.10E-12,-1.06E-17,-131964.2721,42.4881456,1
iron,Fe,g,FE  1.00    0.00    0.00    0.00    0.00,0,55.845,415471,6000,20000,6850.327,1216352511,-582856.393,97.8963451,-0.005370704,3.19E-08,6.27E-12,-1.48E-16,4847648.29,-869.728977,1
germanium,Ge,g,GE  1.00    0.00    0.00    0.00    0.00,0,72.61,367800,6000,20000,7398.584,24239651.36,-25436.05174,14.56087539,-0.002592562,2.66E-07,-1.12E-11,1.62E-16,229581.2461,-89.5358586,1
hydrogen,H,g,H   1.00    0.00    0.00    0.00    0.00,0,1.00794,217998.828,6000,20000,6197.428,217375769.4,-131203.5403,33.991742,-0.003814,2.43E-07,-7.69E-12,9.64E-17,1067638.086,-274.2301051,1
hydrogen d,HD,g,H   1.00D   1.00    0.00    0.00    0.00,0,3.022042,323.302,6000,20000,8509.102,482996094,-307714.4916,78.6481651,-0.008332991,4.73E-07,-1.37E-11,1.61E-16,2431070.386,-656.943706,1
hydrogen monofluoride,HF,g,H   1.00F   1.00    0.00    0.00    0.00,0,20.0063432,-273300,6000,20000,8599.103,176458842.3,-87899.9806,18.86524859,-0.000685087,-1.40E-08,1.50E-12,-2.72E-17,685357.322,-139.3231574,1
dihydrogen,H2,g,H   2.00    0.00    0.00    0.00    0.00,0,2.01588,0,6000,20000,8468.102,496671613,-314744.812,79.838875,-0.008414504,4.75E-07,-1.37E-11,1.61E-16,2488354.66,-669.552419,1
helium,He,g,HE  1.00    0.00    0.00    0.00    0.00,0,4.002602,0,6000,20000,6197.428,3396845.42,-2194.037652,3.080231878,-8.07E-05,6.25E-09,-2.57E-13,4.43E-18,16505.1896,-4.04881439,1
mercury,Hg,g,HG  1.00    0.00    0.00    0.00    0.00,0,200.59,61380,6000,20000,6197.428,535844393,-443385.381,146.3223992,-0.023184417,1.92E-06,-7.42E-11,1.07E-15,3391999.92,-1201.22599,1
iodine,I,g,I   1.00    0.00    0.00    0.00    0.00,0,126.90447,106760,6000,20000,6197.428,47476307.8,-86811.1119,39.5061702,-0.006514063,5.38E-07,-1.97E-11,2.64E-16,638484.303,-297.2997119,1
indium,In,g,IN  1.00    0.00    0.00    0.00    0.00,0,114.818,240700,6000,20000,6198.649,-2289146.601,39086.9106,-17.89204885,0.003655375,-2.58E-07,7.93E-12,-9.07E-17,-237625.7502,173.8048645,1
potassium,K,g,K   1.00    0.00    0.00    0.00    0.00,0,39.0983,89000,6000,20000,6197.428,920578659,-693530.028,191.1270788,-0.023059317,1.43E-06,-4.41E-11,5.37E-16,5395082.19,-1622.158805,1
krypton,Kr,g,KR  1.00    0.00    0.00    0.00    0.00,0,83.8,0,6000,20000,6197.428,-1375531087,906403.053,-240.3481435,0.03378312,-2.56E-06,9.97E-11,-1.52E-15,-7111667.37,2086.866326,1
lithium,Li,g,LI  1.00    0.00    0.00    0.00    0.00,0,6.941,159300,6000,20000,6197.428,2604352623,-1521952.201,345.44005,-0.037796749,2.22E-06,-6.69E-11,8.09E-16,12177918.47,-3006.680193,1
magnesium,Mg,g,MG  1.00    0.00    0.00    0.00    0.00,0,24.305,147100,6000,20000,6197.428,2166012586,-1008355.665,161.9680021,-0.00879013,-1.93E-08,1.73E-11,-4.23E-16,8349525.9,-1469.355261,1
magnesium oxide,MgO,g,MG  1.00O   1.00    0.00    0.00    0.00,0,40.3044,32261.307,6000,20000,8909.107,2290059.05,-20734.99632,14.44150005,-0.00149061,1.05E-07,-3.52E-12,4.61E-17,149021.8815,-80.0728173,1
manganese,Mn,g,MN  1.00    0.00    0.00    0.00    0.00,0,54.938049,282400,6000,20000,6197.428,3936189040,-2353549.748,537.72448,-0.058248126,3.33E-06,-9.69E-11,1.13E-15,18795301.61,-4690.09789,1
molybdenum,Mo,g,MO  1.00    0.00    0.00    0.00    0.00,0,95.94,658500,6000,20000,6197.428,6205038910,-3855961.6,937.159506,-0.110816454,6.93E-06,-2.20E-10,2.80E-15,30621636.02,-8122.81134,1
nitrogen,N,g,N   1.00    0.00    0.00    0.00    0.00,0,14.00674,472680,6000,20000,6197.428,547518105,-310757.498,69.1678274,-0.006847988,3.83E-07,-1.10E-11,1.28E-16,2550585.618,-584.876971,1
nitrogen monohydride,NH,g,N   1.00H   1.00    0.00    0.00    0.00,0,15.01468,357032.001,6000,20000,8601.103,95246367.9,-85858.2691,29.80445181,-0.002979564,1.66E-07,-4.74E-12,5.57E-17,696143.427,-222.9027379,1
nitrogen monoxide,NO,g,N   1.00O   1.00    0.00    0.00    0.00,0,30.00614,91271.31,6000,20000,9179.11,-957530354,591243.448,-138.4566826,0.016943394,-1.01E-06,2.91E-11,-3.30E-16,-4677501.24,1242.081218,1
dinitrogen,N2,g,N   2.00    0.00    0.00    0.00    0.00,0,28.01348,0,6000,20000,8670.104,831013916,-642073.354,202.0264635,-0.03065092,2.49E-06,-9.71E-11,1.44E-15,4938707.04,-1672.099736,1
sodium,Na,g,NA  1.00    0.00    0.00    0.00    0.00,0,22.98977,107500,6000,20000,6197.428,1592533392,-971783.666,223.8443963,-0.023809306,1.35E-06,-3.94E-11,4.63E-16,7748677.26,-1939.615505,1
niobium,Nb,g,NB  1.00    0.00    0.00    0.00    0.00,0,92.90638,723113.099,6000,20000,8354.099,1818626365,-1032414.94,230.8238005,-0.024450043,1.40E-06,-4.09E-11,4.83E-16,8359622.56,-1997.79729,1
neon,Ne,g,NE  1.00    0.00    0.00    0.00    0.00,0,20.1797,0,6000,20000,6197.428,-12382527.46,6958.57958,1.016709287,0.000142466,-4.80E-09,-1.17E-13,8.42E-18,-56639.3363,16.48438697,1
nickel,Ni,g,NI  1.00    0.00    0.00    0.00    0.00,0,58.6934,430116.605,6000,20000,6825.013,349266988,-165422.7575,33.4986936,-0.003527086,3.24E-07,-1.60E-11,2.94E-16,1409017.848,-267.2455567,1
oxygen,O,g,O   1.00    0.00    0.00    0.00    0.00,0,15.9994,249175.003,6000,20000,6725.403,177900426.4,-108232.8257,28.10778365,-0.002975232,1.85E-07,-5.80E-12,7.19E-17,889094.263,-218.1728151,1
hydroxide,OH,g,O   1.00H   1.00    0.00    0.00    0.00,0,17.00734,39344.106,6000,20000,8813.106,284723419.3,-185953.2612,50.082409,-0.005142375,2.88E-07,-8.23E-12,9.57E-17,1468642.377,-402.355558,1
dioxygen,O2,g,O   2.00    0.00    0.00    0.00    0.00,0,31.9988,0,6000,20000,8680.104,497529430,-286610.6874,66.9035225,-0.006169959,3.02E-07,-7.42E-12,7.28E-17,2293554.027,-553.062161,1
phosphorus,P,g,P   1.00    0.00    0.00    0.00    0.00,0,30.973761,316500,6000,20000,6197.428,-22153925.45,-45669.1118,28.37245428,-0.004483244,3.58E-07,-1.26E-11,1.59E-16,337090.576,-205.6960928,1
lead,Pb,g,PB  1.00    0.00    0.00    0.00    0.00,0,207.2,195200,6000,20000,6197.428,532547497,-275141.9152,63.0303193,-0.006813673,4.45E-07,-1.52E-11,2.04E-16,2243651.683,-522.56499,1
rubidium,Rb,g,RB  1.00    0.00    0.00    0.00    0.00,0,85.4678,80900,6000,20000,6197.428,324519220,-349385.087,115.9097652,-0.014928431,9.58E-07,-3.00E-11,3.66E-16,2636178.014,-958.651723,1
radon,Rn,g,RN  1.00    0.00    0.00    0.00    0.00,0,222.0176,0,6000,20000,6197.428,918086668,-624585.46,172.4946531,-0.023257586,1.64E-06,-5.37E-11,6.51E-16,4883105.9,-1449.516146,1
sulfur,S,g,S   1.00    0.00    0.00    0.00    0.00,0,32.066,277170,6000,20000,6657.425,-130200541.4,69093.6202,-11.76228025,0.001601541,-1.05E-07,4.34E-12,-7.68E-17,-526148.503,132.2195719,1
scandium,Sc,g,SC  1.00    0.00    0.00    0.00    0.00,0,44.95591,377700.259,6000,20000,7002.259,2283130511,-1367701.232,321.359306,-0.035631711,2.09E-06,-6.24E-11,7.43E-16,10927083.59,-2781.409383,1
silicon,Si,g,SI  1.00    0.00    0.00    0.00    0.00,0,28.0855,450000,6000,20000,7550.258,-928654894,544398.989,-120.6739736,0.013596627,-7.61E-07,2.15E-11,-2.47E-16,-4293792.12,1086.382839,1
tin,Sn,g,SN  1.00    0.00    0.00    0.00    0.00,0,118.71,301200,6000,20000,6214.713,-1119787114,642704.604,-137.8615913,0.014538672,-7.11E-07,1.50E-11,-8.94E-17,-5111296.87,1245.625545,1
strontium,Sr,g,SR  1.00    0.00    0.00    0.00    0.00,0,87.62,160500,6000,20000,6197.428,556223372,-609319.322,210.9096848,-0.03010064,2.18E-06,-7.82E-11,1.11E-15,4579268.34,-1752.716908,1
strontium bromide,SrBr,g,SR  1.00BR  1.00    0.00    0.00    0.00,0,167.524,-63917.691,6000,20000,10107.109,227496070.8,-156599.6629,42.3457928,-0.003477056,1.36E-07,-2.62E-12,1.97E-17,1221439.274,-326.582455,1
strontium chloride,SrCl,g,SR  1.00CL  1.00    0.00    0.00    0.00,0,123.0727,-127867.894,6000,20000,9800.106,138228019.1,-96595.7983,26.00430844,-0.001405208,2.01E-08,7.12E-13,-2.00E-17,744802.383,-187.6859871,1
strontium fluoride,SrF,g,SR  1.00F   1.00    0.00    0.00    0.00,0,106.6184032,-303552.8,6000,20000,9283.1,-34480818.2,22080.50499,-5.1257,0.002209095,-1.55E-07,5.13E-12,-6.68E-17,-204858.7612,79.9556419,1
strontium iodide,SrI,g,SR  1.00I   1.00    0.00    0.00    0.00,0,214.52447,-7851.676,6000,20000,10283.124,155730334.8,-115078.7674,35.5052076,-0.003375329,1.70E-07,-4.44E-12,4.85E-17,891735.788,-261.3917335,1
strontium oxide,SrO,g,SR  1.00O   1.00    0.00    0.00    0.00,0,103.6194,-14207.691,6000,20000,9040.109,198872911.2,-94387.3368,28.62378041,-0.002923339,1.81E-07,-5.72E-12,7.32E-17,758324.629,-203.3702568,1
tantalum,Ta,g,TA  1.00    0.00    0.00    0.00    0.00,0,180.9479,782518.638,6000,20000,6199.638,-841341956,638150.904,-185.603185,0.027973536,-2.07E-06,7.40E-11,-1.02E-15,-4836410.62,1607.00775,1
titanium,Ti,g,TI  1.00    0.00    0.00    0.00    0.00,0,47.867,473000,6000,20000,7539.141,1152797766,-722240.838,177.7167465,-0.020080591,1.22E-06,-3.81E-11,4.80E-16,5772614.54,-1518.080466,1
vanadium,V,g,V   1.00    0.00    0.00    0.00    0.00,0,50.9415,517267.064,6000,20000,7907.064,2456040166,-1339992.028,278.1039851,-0.026389374,1.30E-06,-3.21E-11,3.10E-16,10871520.43,-2439.95438,1
tungsten,W,g,W   1.00    0.00    0.00    0.00    0.00,0,183.84,851243.526,6000,20000,6216.526,1421636486,-432536.555,-8.84161507,0.016455389,-1.91E-06,8.53E-11,-1.36E-15,3994798.75,-12.66418236,1
xenon,Xe,g,XE  1.00    0.00    0.00    0.00    0.00,0,131.29,0,6000,20000,6197.428,254039745.6,-110537.3774,13.82644099,0.001500615,-3.94E-07,2.77E-11,-5.94E-16,928544.383,-110.9834899,1
zinc,Zn,g,ZN  1.00    0.00    0.00    0.00    0.00,0,65.39,130400,6000,20000,6197.428,-208728796.2,157817.8131,-36.2203311,0.00334523,-8.57E-09,-7.12E-12,1.69E-16,-1217847.671,345.943996,1
zirconium,Zr,g,ZR  1.00    0.00    0.00    0.00    0.00,0,91.224,599318.611,6000,20000,6815.611,520770138,-282565.2444,60.7705435,-0.005081211,2.35E-07,-6.24E-12,8.01E-17,2351487.351,-509.318306,1
zirconium oxide,ZrO,g,ZR  1.00O   1.00    0.00    0.00    0.00,0,107.2234,83922.708,6000,20000,8970.108,134345692.3,-78510.8836,19.81614195,-0.000802721,2.52E-09,7.96E-13,-1.68E-17,640667.059,-135.8472283,1
